FG-17A;Fan grill;Sunon Fans;http://abtronics.ru/components/FG17A_good_28960/;FG-17A;Решетка вентилятора;Sunon Fans;"Решетка вентилятора - Материал: металлическая; Фильтр: нет; Монтаж: 172 мм; 6.6";4;от 3 нед.;708 шт.;По запросу;"";http://res.abtronics.ru//small/photo/961/Sunon/abtronics_FG17A.jpg;"";"";"";"";"";"";"";"";"";finish
K-G17H10-2HA;Fan grill;"";http://abtronics.ru/components/KG17H102HA_good_29009/;K-G17H10-2HA;Решетка вентилятора;None;"Решетка вентилятора - Материал: металлическая; Фильтр: нет; Монтаж: 162 мм; Винт: 4.8 мм; 154.4x154.4x6.45";4;от 3 нед.;754 шт.;По запросу;"";http://res.abtronics.ru//small/photo/76/JamiconElectronics/abtronics_KG17H102HA.jpg;"";"";"";"";"";"";"";"";"";finish
KF0510S1L;Fans;"";http://abtronics.ru/components/KF0510S1L_good_30391/;KF0510S1L;Вентиляторы;None;"Вентилятор - Напряжение: 12 VDC; Подшипник: Скольжения; Ток: 60 мА; Мощность: 720 мВт; Скорость: 3500 об/мин; Шум: 21.2 dBA";170;от 3 нед.;526 шт.;По запросу;"";"";"";"";"";"";"";"";"";"";"";finish
KF0210S5HR;Fans;"";http://abtronics.ru/components/KF0210S5HR_good_32006/;KF0210S5HR;Вентиляторы;None;"Вентилятор - Напряжение: 5 VDC; Подшипник: Скольжения; Ток: 220 мА; Мощность: 1.1 Вт; Скорость: 13000 об/мин; Шум: 32.1 dBA";4;от 3 нед.;777 шт.;По запросу;"";"";"";"";"";"";"";"";"";"";"";finish
SK 120 150 SA;LED radiator;Fischer Elektronik;http://abtronics.ru/components/SK120150SA_good_34364/;SK 120 150 SA;Радиатор светодиода;Fischer Elektronik;"Радиатор светодиода - Тип: ребристый; Форма: прямоугольный; R темп.: 1 °C/Вт; Примечания: Алюминий; 150x150x40";170;от 3 нед.;845 шт.;По запросу;"";"";"";"";"";"";"";"";"";"";"";finish
SK 454 50 SA;LED radiator;Fischer Elektronik;http://abtronics.ru/components/SK45450SA_good_34365/;SK 454 50 SA;Радиатор светодиода;Fischer Elektronik;"Радиатор светодиода - Тип: ребристый; Форма: прямоугольный; R темп.: 8.5 °C/Вт; Примечания: Алюминий; 21.5x50x19";4;от 3 нед.;510 шт.;По запросу;"";http://res.abtronics.ru//small/photo/10/FISCHERELEKTRONIK/abtronics_SK45450SA.jpg;"";"";"";"";"";"";"";"";"";finish
SK 552 100 SA;LED radiator;Fischer Elektronik;http://abtronics.ru/components/SK552100SA_good_34374/;SK 552 100 SA;Радиатор светодиода;Fischer Elektronik;"Радиатор светодиода - Тип: ребристый; Форма: прямоугольный; R темп.: 9 °C/Вт; Примечания: Алюминий; 14x100x10";170;от 3 нед.;600 шт.;По запросу;"";"";"";"";"";"";"";"";"";"";"";finish
SK 46 20 SA;LED radiator;Fischer Elektronik;http://abtronics.ru/components/SK4620SA_good_34549/;SK 46 20 SA;Радиатор светодиода;Fischer Elektronik;"Радиатор светодиода - Тип: ребристый; Форма: квадратный; R темп.: 2.2 °C/Вт; Примечания: Алюминий; 51x51x20";4;от 3 нед.;666 шт.;По запросу;"";http://res.abtronics.ru//small/photo/164/FISCHERELEKTRONIK/abtronics_SK4620SA.jpg;http://res.abtronics.ru//small/photo/39/other/abtronics_SK4620SA.jpg;"";"";"";http://res.abtronics.ru/pdf/39/other/abtronics_SK4620SA.pdf;"";"";"";"";finish
SK 572 50 SA;LED radiator;Fischer Elektronik;http://abtronics.ru/components/SK57250SA_good_34551/;SK 572 50 SA;Радиатор светодиода;Fischer Elektronik;"Радиатор светодиода - Тип: ребристый; Форма: круглый; R темп.: 1.3 °C/Вт; Примечания: Алюминий; 85x85x50";4;от 3 нед.;877 шт.;По запросу;"";http://res.abtronics.ru//small/photo/10/FISCHERELEKTRONIK/abtronics_SK57250SA.jpg;http://res.abtronics.ru//small/photo/164/FISCHERELEKTRONIK/abtronics_SK57250SA.jpg;http://res.abtronics.ru//small/photo/39/other/abtronics_SK57250SA.jpg;"";"";http://res.abtronics.ru/pdf/39/other/abtronics_SK57250SA.pdf;"";"";"";"";finish
SK 571 50 SA;LED radiator;Fischer Elektronik;http://abtronics.ru/components/SK57150SA_good_34552/;SK 571 50 SA;Радиатор светодиода;Fischer Elektronik;"Радиатор светодиода - Тип: ребристый; Форма: круглый; R темп.: 1.4 °C/Вт; Примечания: Алюминий; 70x70x50";4;от 3 нед.;948 шт.;По запросу;"";http://res.abtronics.ru//small/photo/164/FISCHERELEKTRONIK/abtronics_SK57150SA.jpg;http://res.abtronics.ru//small/photo/39/other/abtronics_SK57150SA.jpg;"";"";"";http://res.abtronics.ru/pdf/39/other/abtronics_SK57150SA.pdf;"";"";"";"";finish
